49,23
18,17
7,26
18,26
27,4
7,35
19,0
42,2
27,13
18,44
42,11
19,9
30,9
11,5
40,41
30,18
8,18
29,41
21,46
44,20
41,33
44,29
33,29
34,3
45,3
2,32
25,34
10,45
34,12
22,10
14,15
14,24
37,26
22,37
37,35
38,0
14,42
38,9
15,7
7,3
49,18
26,16
36,48
18,12
15,25
17,44
7,21
18,30
7,30
9,49
27,8
29,27
48,40
6,34
11,0
48,49
41,1
6,43
41,10
33,6
41,19
33,15
41,28
25,11
41,37
25,29
10,40
34,7
33,42
3,1
10,49
34,16
37,12
22,23
3,19
37,21
22,32
14,28
38,4
15,2
18,7
36,43
26,20
7,16
48,17
48,26
9,44
29,22
6,29
29,31
21,27
6,38
33,1
6,47
41,14
29,49
10,8
33,10
33,19
10,17
44,28
22,0
2,31
10,44
34,11
25,42
43,41
2,49
22,27
3,23
14,23
28,25
18,2
48,3
17,34
28,34
47,47
9,30
40,8
9,39
21,13
29,26
48,39
21,22
21,31
6,42
29,44
40,44
33,5
10,3
44,14
33,14
25,10
2,8
10,21
10,30
43,36
22,13
13,32
37,11
32,45
24,41
35,41
13,41
1,48
47,15
36,15
16,46
36,24
47,24
28,20
17,20
36,33
28,29
47,42
9,25
17,38
28,38
28,47
40,12
48,25
21,17
6,28
40,30
29,30
21,26
6,37
41,4
44,0
6,46
41,13
20,39
33,18
25,14
20,48
10,25
12,44
32,22
24,27
14,4
24,36
1,34
36,1
16,32
32,49
16,41
28,6
47,19
36,19
28,15
9,11
5,31
17,33
47,46
28,42
29,7
9,38
21,3
40,25
21,21
6,32
39,38
44,4
39,47
25,9
20,43
23,39
2,16
13,13
4,44
13,22
35,22
1,29
36,5
17,1
13,49
1,47
47,14
24,49
5,8
17,10
47,23
9,6
28,19
5,17
36,32
9,15
5,26
28,28
17,37
29,2
6,0
40,2
5,44
6,9
40,11
8,46
30,46
39,24
20,20
39,33
31,29
23,25
32,3
43,12
32,12
12,43
13,8
24,8
43,21
32,21
23,43
35,17
32,30
4,48
13,26
35,35
13,35
47,0
16,31
47,9
16,40
17,5
9,1
16,49
47,27
38,46
28,23
48,1
5,30
9,28
29,6
40,6
27,36
8,32
19,32
42,34
19,41
11,37
39,19
31,15
20,15
23,29
32,7
24,3
35,3
32,16
43,25
13,21
43,34
1,28
24,30
46,27
1,37
16,35
36,13
28,9
38,41
49,41
28,18
5,16
26,48
9,14
27,22
27,31
42,29
30,27
8,27
19,27
39,5
27,49
42,47
20,10
31,10
8,45
23,6
20,19
39,32
23,15
20,28
23,24
31,37
1,5
13,7
32,20
45,39
34,39
24,16
43,20
4,47
4,38
35,25
1,23
46,22
28,4
46,40
5,2
26,34
9,0
15,34
15,43
49,45
42,6
18,48
42,15
8,13
30,22
19,31
39,9
0,27
8,40
31,5
23,1
31,14
11,45
23,10
31,23
23,19
31,32
12,28
4,24
32,6
1,0
4,33
45,34
34,34
13,11
24,11
35,11
22,41
16,7
16,16
46,17
14,46
37,48
49,13
46,26
15,20
38,31
49,31
46,44
18,25
7,25
38,40
26,38
18,34
42,1
26,47
27,12
18,43
19,8
27,21
42,19
8,17
30,17
11,13
19,17
19,26
42,28
39,4
0,22
30,35
31,0
19,35
8,35
39,22
31,18
12,14
23,14
12,23
32,1
34,20
4,28
37,25
45,38
3,32
22,45
45,47
14,41
38,8
37,43
26,15
26,24
15,24
46,39
49,26
18,20
26,33
15,33
38,35
7,29
7,20
27,7
19,3
42,5
30,12
48,48
19,12
11,8
42,23
11,17
0,17
39,8
11,26
31,4
20,4
0,35
12,0
23,0
23,9
12,9
33,41
23,18
4,14
2,44
22,22
34,33
14,27
37,29
22,40
45,42
3,36
14,45
26,10
3,45
38,12
49,21
26,19
38,30
15,28
26,37
15,37
7,33
26,46
48,43
30,7
27,20
11,3
19,16
30,25
19,25
44,27
12,4
25,23
33,36
34,1
10,34
2,39
37,6
34,19
2,48
14,13
22,26
45,28
14,22
46,2
14,31
38,7
26,5
18,1
3,49
26,14
7,1
26,23
18,19
26,32
7,28
27,6
8,2
40,34
0,7
0,16
21,48
44,13
44,22
33,22
41,35
33,31
10,38
22,3
44,40
10,47
45,14
34,14
33,49
22,21
3,17
22,30
14,26
37,28
22,39
46,6
3,35
49,2
26,9
38,11
7,5
7,14
48,15
28,46
40,29
30,6
21,25
19,6
6,36
41,3
11,2
21,43
44,8
25,4
25,13
34,0
45,0
44,44
45,9
10,42
2,38
14,3
22,16
45,18
14,12
14,21
3,21
3,30
36,27
15,4
26,4
26,13
17,32
36,45
5,48
29,15
48,28
29,24
40,24
48,37
21,20
21,29
41,7
33,3
44,3
44,12
33,21
25,17
10,28
34,4
25,35
32,34
2,33
45,13
22,11
2,42
24,39
14,16
36,22
17,18
36,31
28,27
18,4
9,23
36,40
28,36
29,1
5,43
29,10
29,19
48,32
29,28
21,24
29,37
6,35
21,33
33,7
41,20
2,1
33,16
44,16
2,10
25,12
10,32
2,28
37,4
3,2
14,2
35,34
43,38
3,11
43,47
13,43
24,43
36,17
16,48
17,22
47,35
48,0
17,31
5,29
47,44
9,27
36,44
17,40
40,5
6,3
28,40
29,5
9,36
29,14
40,14
21,10
40,23
29,23
21,19
40,32
41,6
44,2
33,2
25,7
10,18
2,14
25,16
43,24
32,33
43,33
1,27
43,42
32,42
24,38
47,3
36,12
17,8
28,8
47,21
9,4
28,17
5,15
17,17
17,26
5,33
28,35
40,9
29,9
21,5
6,16
21,14
42,46
0,49
20,27
31,27
2,0
25,2
39,49
23,32
12,32
20,45
43,10
32,10
13,6
2,18
35,15
13,15
32,28
4,46
24,24
35,24
1,22
1,31
13,33
35,42
36,7
13,42
5,1
47,16
36,16
17,12
9,8
28,21
28,30
9,26
40,4
21,0
6,11
27,43
30,48
8,48
19,48
39,26
20,31
31,31
39,44
12,27
20,40
43,5
31,40
12,36
20,49
35,10
43,23
35,19
24,19
24,37
47,2
35,37
16,33
16,42
28,7
46,43
9,3
28,16
9,12
15,46
5,23
9,21
27,29
39,3
30,34
42,36
39,12
42,45
11,39
39,21
31,17
20,17
39,30
0,48
12,13
31,26
39,39
12,22
23,40
1,3
35,5
24,5
13,5
4,36
13,14
43,27
16,19
17,2
46,38
49,34
17,11
28,11
27,15
27,24
19,20
19,29
30,29
27,42
39,7
0,25
19,38
42,40
11,25
19,47
30,47
8,47
20,21
12,17
23,17
31,30
23,26
15,12
31,39
35,0
24,0
4,31
32,13
34,32
24,9
16,5
45,41
24,18
13,18
46,15
47,1
49,20
46,33
15,27
49,29
15,36
26,36
5,13
7,41
8,6
18,41
42,8
30,15
27,28
30,24
8,24
42,26
39,2
19,33
19,42
31,16
11,47
23,12
20,25
31,25
23,21
23,30
25,49
43,8
45,27
13,4
24,4
35,4
34,36
35,13
37,32
22,43
46,10
34,45
14,39
49,15
38,15
26,22
15,22
49,24
49,33
38,33
26,31
15,40
38,42
18,36
8,1
7,36
7,45
30,10
19,10
30,19
8,28
19,28
42,30
11,24
0,24
8,37
30,37
